"filename", "language", "XML", "Java", "Properties", "Batch", "HTML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 0, 21, 0, 0, 9, 4, 34
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_size.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_table-row.scss", "SCSS", 0, 0, 0, 0, 0, 29, 0, 0, 5, 6, 40
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 2, 3, 17
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_text-hide.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 2, 2, 9
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 1, 2, 17
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\mixins\_visibility.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 2, 3, 9
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_align.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_background.scss", "SCSS", 0, 0, 0, 0, 0, 14, 0, 0, 1, 5, 20
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_borders.scss", "SCSS", 0, 0, 0, 0, 0, 52, 0, 0, 7, 17, 76
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_clearfix.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_display.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 7, 7, 27
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_embed.scss", "SCSS", 0, 0, 0, 0, 0, 33, 0, 0, 1, 6, 40
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_flex.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 4, 9, 52
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_float.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_overflow.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 0, 3, 6, 33
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_screenreaders.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 3, 3, 12
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 0, 4, 0, 0, 1, 2, 7
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_sizing.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 0, 3, 7, 21
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_spacing.scss", "SCSS", 0, 0, 0, 0, 0, 64, 0, 0, 4, 6, 74
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_stretched-link.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 5, 2, 20
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_text.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 11, 23, 73
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\utilities\_visibility.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 0, 4, 4, 14
"d:\Support\support\src\main\resources\static\Time\scss\bootstrap\vendor\_rfs.scss", "SCSS", 0, 0, 0, 0, 0, 126, 0, 0, 43, 36, 205
"d:\Support\support\src\main\resources\static\Time\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 72, 0, 0, 3, 8, 83
"d:\Support\support\src\main\resources\static\css\Users.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 27, 3, 4, 34
"d:\Support\support\src\main\resources\static\css\bootstrap-datetimepicker.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 8
"d:\Support\support\src\main\resources\static\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 81, 0, 13, 94
"d:\Support\support\src\main\resources\static\js\bootstrap-datetimepicker.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 25, 0, 26
"d:\Support\support\src\main\resources\templates\AddMachine.html", "HTML", 0, 0, 0, 0, 34, 0, 0, 0, 2, 16, 52
"d:\Support\support\src\main\resources\templates\AddMachineFamilly.html", "HTML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 14, 47
"d:\Support\support\src\main\resources\templates\AddUser.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 21, 67
"d:\Support\support\src\main\resources\templates\CloseSupport.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 25, 97
"d:\Support\support\src\main\resources\templates\Debug.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\Support\support\src\main\resources\templates\Index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"d:\Support\support\src\main\resources\templates\ListSupport.html", "HTML", 0, 0, 0, 0, 130, 0, 0, 0, 1, 48, 179
"d:\Support\support\src\main\resources\templates\MachinesList.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 7, 66
"d:\Support\support\src\main\resources\templates\OpenSupport.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 28, 100
"d:\Support\support\src\main\resources\templates\UsersList.html", "HTML", 0, 0, 0, 0, 116, 0, 0, 0, 0, 31, 147
"d:\Support\support\src\main\resources\templates\__error.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\Support\support\src\main\resources\templates\info.html", "HTML", 0, 0, 0, 0, 73, 0, 0, 0, 0, 56, 129
"d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java", "Java", 0, 63, 0, 0, 0, 0, 0, 0, 0, 21, 84
"Total", "-", 102, 1059, 7, 102, 679, 5416, 31, 7513, 1324, 2997, 19230
