"filename", "language", "XML", "Java", "HTML", "comment", "blank", "total"
"d:\Support\support\pom.xml", "XML", 4, 0, 0, 0, 1, 5
"d:\Support\support\src\main\java\com\support\Contollers\SupportController.java", "Java", 0, 9, 0, 0, 7, 16
"d:\Support\support\src\main\java\com\support\Entitis\Admin.java", "Java", 0, 10, 0, 0, 1, 11
"d:\Support\support\src\main\java\com\support\Entitis\Resever.java", "Java", 0, 4, 0, 0, 1, 5
"d:\Support\support\src\main\java\com\support\Entitis\User.java", "Java", 0, 3, 0, 0, 0, 3
"d:\Support\support\src\main\java\com\support\Repositories\UserRepositorie.java", "Java", 0, 1, 0, 0, 0, 1
"d:\Support\support\src\main\java\com\support\Services\MachineService.java", "Java", 0, -2, 0, 0, 1, -1
"d:\Support\support\src\main\java\com\support\Services\UserService.java", "Java", 0, 24, 0, 3, 11, 38
"d:\Support\support\src\main\java\com\support\Servicesinterfaces\UserInterface.java", "Java", 0, 1, 0, 0, 0, 1
"d:\Support\support\src\main\java\com\support\SupportApplication.java", "Java", 0, 0, 0, 0, -4, -4
"d:\Support\support\src\main\java\com\support\security\SecurityConfiguration.java", "Java", 0, 32, 0, 0, 5, 37
"d:\Support\support\src\main\java\com\support\security\SupportUserDetails.java", "Java", 0, 43, 0, 4, 18, 65
"d:\Support\support\src\main\java\com\support\security\UserDetailsServiceImp.java", "Java", 0, 20, 0, 0, 5, 25
"d:\Support\support\src\main\resources\templates\ListSupport.html", "HTML", 0, 0, 2, 0, 0, 2
"d:\Support\support\src\test\java\com\support\support\SupportApplicationTests.java", "Java", 0, 5, 0, -12, -1, -8
"Total", "-", 4, 150, 2, -5, 45, 196
